Index: 1, Strongly agree: 0.31305500864982605, Strongly disagree: 0.28862959146499634, Agree: 0.21190860867500305, Disagree: 0.18640673160552979
Index: 38, Strongly disagree: 0.42145034670829773, Disagree: 0.40225502848625183, Strongly agree: 0.09541162103414536, Agree: 0.08088300377130508
Index: 39, Strongly disagree: 0.397569864988327, Disagree: 0.351693332195282, Strongly agree: 0.12551967799663544, Agree: 0.12521715462207794
Index: 40, Strongly disagree: 0.42129606008529663, Disagree: 0.23099075257778168, Strongly agree: 0.23032477498054504, Agree: 0.11738839000463486
Index: 41, Strongly disagree: 0.6165624856948853, Disagree: 0.16343072056770325, Strongly agree: 0.1411389261484146, Agree: 0.07886790484189987
Index: 42, Strongly disagree: 0.5286011099815369, Disagree: 0.24010924994945526, Strongly agree: 0.1379166841506958, Agree: 0.09337301552295685
Index: 43, Strongly disagree: 0.47009438276290894, Disagree: 0.2554880380630493, Strongly agree: 0.168716698884964, Agree: 0.10570080578327179
Index: 44, Strongly disagree: 0.5874122977256775, Disagree: 0.2366616129875183, Strongly agree: 0.10374772548675537, Agree: 0.07217829674482346
Index: 45, Strongly disagree: 0.5242254137992859, Disagree: 0.2386990785598755, Strongly agree: 0.16010048985481262, Agree: 0.07697498053312302
Index: 46, Strongly disagree: 0.36062291264533997, Disagree: 0.3279585540294647, Agree: 0.16857390105724335, Strongly agree: 0.14284463226795197
Index: 47, Strongly disagree: 0.4230690598487854, Strongly agree: 0.22660702466964722, Disagree: 0.17839078605175018, Agree: 0.1719331443309784
Index: 48, Strongly disagree: 0.4732527434825897, Disagree: 0.2761615812778473, Strongly agree: 0.1730239987373352, Agree: 0.07756168395280838
Index: 49, Strongly disagree: 0.6907079219818115, Disagree: 0.19259867072105408, Strongly agree: 0.06736524403095245, Agree: 0.04932812228798866
Index: 50, Strongly disagree: 0.43843695521354675, Disagree: 0.2131456732749939, Strongly agree: 0.20361445844173431, Agree: 0.14480288326740265
Index: 51, Strongly agree: 0.4730028808116913, Agree: 0.35189515352249146, Disagree: 0.09752127528190613, Strongly disagree: 0.07758065313100815
Index: 52, Disagree: 0.44061270356178284, Strongly disagree: 0.43875938653945923, Strongly agree: 0.07638147473335266, Agree: 0.04424647241830826
Index: 53, Strongly disagree: 0.4768795371055603, Disagree: 0.2435542345046997, Strongly agree: 0.1512477993965149, Agree: 0.1283184438943863
Index: 54, Strongly disagree: 0.48549988865852356, Disagree: 0.29566490650177, Strongly agree: 0.13688144087791443, Agree: 0.08195371925830841
Index: 55, Strongly disagree: 0.41834259033203125, Disagree: 0.3476252257823944, Strongly agree: 0.15247254073619843, Agree: 0.0815596655011177
Index: 56, Strongly disagree: 0.38549378514289856, Disagree: 0.3844006359577179, Strongly agree: 0.12125051021575928, Agree: 0.10885503888130188
Index: 57, Strongly disagree: 0.35312801599502563, Disagree: 0.3023790121078491, Strongly agree: 0.17607928812503815, Agree: 0.1684136539697647
Index: 58, Strongly agree: 0.6100788712501526, Agree: 0.33736351132392883, Strongly disagree: 0.031014740467071533, Disagree: 0.021542977541685104
Index: 59, Disagree: 0.40657228231430054, Strongly disagree: 0.3823205828666687, Strongly agree: 0.10839388519525528, Agree: 0.10271328687667847
Index: 60, Strongly disagree: 0.5159754753112793, Disagree: 0.23480014503002167, Strongly agree: 0.17505130171775818, Agree: 0.07417302578687668
Index: 61, Strongly disagree: 0.6377071142196655, Disagree: 0.19981393218040466, Strongly agree: 0.1132018119096756, Agree: 0.04927713796496391
Index: 62, Disagree: 0.3209279775619507, Strongly disagree: 0.32027533650398254, Strongly agree: 0.21490727365016937, Agree: 0.1438894122838974
