Index: 1, Strongly agree: 0.6195046901702881, Agree: 0.33730122447013855, Disagree: 0.022625742480158806, Strongly disagree: 0.020568333566188812
Index: 38, Strongly disagree: 0.5262700915336609, Disagree: 0.2739095091819763, Strongly agree: 0.10973107814788818, Agree: 0.09008932113647461
Index: 39, Strongly disagree: 0.5835976600646973, Disagree: 0.3057381510734558, Agree: 0.06081409379839897, Strongly agree: 0.04985005408525467
Index: 40, Strongly agree: 0.3940475583076477, Strongly disagree: 0.28543010354042053, Disagree: 0.20234264433383942, Agree: 0.11817967146635056
Index: 41, Strongly disagree: 0.5140213966369629, Disagree: 0.30084872245788574, Strongly agree: 0.11304264515638351, Agree: 0.07208725810050964
Index: 42, Strongly disagree: 0.5196990966796875, Disagree: 0.4146508276462555, Strongly agree: 0.03949302062392235, Agree: 0.02615705132484436
Index: 43, Strongly disagree: 0.4243965446949005, Disagree: 0.34820854663848877, Strongly agree: 0.12862829864025116, Agree: 0.09876662492752075
Index: 44, Strongly disagree: 0.5108324885368347, Disagree: 0.18657729029655457, Strongly agree: 0.1819458156824112, Agree: 0.12064439803361893
Index: 45, Disagree: 0.5884919166564941, Strongly disagree: 0.37060269713401794, Strongly agree: 0.023685799911618233, Agree: 0.017219658941030502
Index: 46, Strongly disagree: 0.47255057096481323, Disagree: 0.33212849497795105, Strongly agree: 0.12141759693622589, Agree: 0.07390337437391281
Index: 47, Strongly disagree: 0.5401548147201538, Disagree: 0.40426260232925415, Agree: 0.028315337374806404, Strongly agree: 0.027267294004559517
Index: 48, Strongly disagree: 0.4602832794189453, Disagree: 0.32324501872062683, Strongly agree: 0.13882428407669067, Agree: 0.07764739543199539
Index: 49, Strongly disagree: 0.49720314145088196, Disagree: 0.29085955023765564, Strongly agree: 0.15358489751815796, Agree: 0.058352380990982056
Index: 50, Strongly disagree: 0.4857442080974579, Disagree: 0.230946883559227, Strongly agree: 0.19586487114429474, Agree: 0.087444007396698
Index: 51, Strongly agree: 0.5999353528022766, Agree: 0.3611483573913574, Disagree: 0.02174268662929535, Strongly disagree: 0.017173614352941513
Index: 52, Strongly disagree: 0.5371226072311401, Disagree: 0.2928783893585205, Strongly agree: 0.11737923324108124, Agree: 0.05261975899338722
Index: 53, Strongly disagree: 0.5996403098106384, Disagree: 0.1862047016620636, Strongly agree: 0.13707295060157776, Agree: 0.07708200812339783
Index: 54, Strongly disagree: 0.39891576766967773, Disagree: 0.34028059244155884, Strongly agree: 0.14297324419021606, Agree: 0.11783035844564438
Index: 55, Strongly disagree: 0.49741679430007935, Disagree: 0.3121083378791809, Strongly agree: 0.10650064796209335, Agree: 0.08397423475980759
Index: 56, Disagree: 0.3787703514099121, Strongly disagree: 0.2743311822414398, Strongly agree: 0.205998957157135, Agree: 0.14089946448802948
Index: 57, Strongly disagree: 0.4032228887081146, Disagree: 0.3046610355377197, Strongly agree: 0.15882094204425812, Agree: 0.13329511880874634
Index: 58, Strongly agree: 0.5264575481414795, Agree: 0.45873793959617615, Disagree: 0.007857782766222954, Strongly disagree: 0.006946719717234373
Index: 59, Strongly disagree: 0.4614332616329193, Disagree: 0.1997026801109314, Strongly agree: 0.17981702089309692, Agree: 0.15904708206653595
Index: 60, Strongly disagree: 0.4323364198207855, Disagree: 0.25209906697273254, Strongly agree: 0.20583969354629517, Agree: 0.10972484201192856
Index: 61, Strongly disagree: 0.6001819372177124, Disagree: 0.3499947488307953, Strongly agree: 0.02693793550133705, Agree: 0.022885363548994064
Index: 62, Strongly disagree: 0.33293673396110535, Disagree: 0.2544788718223572, Strongly agree: 0.24971550703048706, Agree: 0.16286885738372803
