Index: 1, Strongly agree: 0.566409707069397, Agree: 0.3020687997341156, Strongly disagree: 0.0719040259718895, Disagree: 0.05961744859814644
Index: 21, Strongly agree: 0.484525591135025, Agree: 0.3994442820549011, Strongly disagree: 0.06841596961021423, Disagree: 0.04761415719985962
Index: 22, Strongly disagree: 0.5555837154388428, Strongly agree: 0.16113242506980896, Disagree: 0.14920154213905334, Agree: 0.13408230245113373
Index: 23, Strongly agree: 0.5699853301048279, Agree: 0.30226364731788635, Strongly disagree: 0.07029490917921066, Disagree: 0.05745616927742958
Index: 24, Strongly agree: 0.5623098611831665, Agree: 0.19849072396755219, Disagree: 0.12100981175899506, Strongly disagree: 0.11818955838680267
Index: 25, Strongly disagree: 0.5951859951019287, Disagree: 0.3211531639099121, Strongly agree: 0.05682291463017464, Agree: 0.026837937533855438
Index: 26, Agree: 0.34677016735076904, Strongly agree: 0.2971555292606354, Strongly disagree: 0.21697303652763367, Disagree: 0.13910120725631714
Index: 27, Strongly agree: 0.5371772646903992, Agree: 0.27963438630104065, Strongly disagree: 0.10754793882369995, Disagree: 0.07564050704240799
Index: 28, Strongly agree: 0.37944966554641724, Strongly disagree: 0.259647935628891, Disagree: 0.1843789666891098, Agree: 0.17652344703674316
Index: 29, Strongly agree: 0.5710180401802063, Agree: 0.377070814371109, Strongly disagree: 0.026681164279580116, Disagree: 0.025229958817362785
Index: 30, Strongly disagree: 0.4693533480167389, Disagree: 0.372457891702652, Strongly agree: 0.07929429411888123, Agree: 0.0788944736123085
Index: 31, Strongly agree: 0.49173611402511597, Agree: 0.396620512008667, Strongly disagree: 0.06309261918067932, Disagree: 0.048550814390182495
Index: 32, Strongly agree: 0.46324050426483154, Agree: 0.34868326783180237, Strongly disagree: 0.14578472077846527, Disagree: 0.042291563004255295
Index: 33, Strongly agree: 0.35930800437927246, Disagree: 0.33502137660980225, Strongly disagree: 0.19810479879379272, Agree: 0.10756589472293854
Index: 34, Strongly agree: 0.49290159344673157, Agree: 0.3593967854976654, Strongly disagree: 0.09555032849311829, Disagree: 0.052151333540678024
Index: 35, Strongly agree: 0.4948996901512146, Agree: 0.25852087140083313, Strongly disagree: 0.1425745189189911, Disagree: 0.10400493443012238
Index: 36, Strongly disagree: 0.37754711508750916, Disagree: 0.2775728702545166, Strongly agree: 0.1990678757429123, Agree: 0.14581215381622314
Index: 37, Strongly disagree: 0.544530987739563, Disagree: 0.26831668615341187, Strongly agree: 0.12575294077396393, Agree: 0.06139936298131943
Index: 38, Strongly agree: 0.6050249338150024, Agree: 0.3074343800544739, Strongly disagree: 0.06760212779045105, Disagree: 0.019938569515943527
Index: 39, Disagree: 0.42228007316589355, Strongly disagree: 0.3258107602596283, Agree: 0.1266956478357315, Strongly agree: 0.12521357834339142
Index: 40, Strongly disagree: 0.4796856939792633, Disagree: 0.29344362020492554, Strongly agree: 0.171242818236351, Agree: 0.055627886205911636
Index: 41, Strongly disagree: 0.4943970739841461, Disagree: 0.30014312267303467, Strongly agree: 0.10890082269906998, Agree: 0.09655895829200745
Index: 42, Strongly agree: 0.6182488799095154, Agree: 0.3216208517551422, Strongly disagree: 0.03951551020145416, Disagree: 0.020614776760339737
Index: 43, Strongly disagree: 0.5002660751342773, Disagree: 0.3281601071357727, Strongly agree: 0.11501370370388031, Agree: 0.05656008794903755
Index: 44, Strongly agree: 0.3276187479496002, Disagree: 0.24583657085895538, Strongly disagree: 0.23392248153686523, Agree: 0.1926220953464508
Index: 45, Strongly agree: 0.4809018671512604, Agree: 0.40219423174858093, Strongly disagree: 0.0810619443655014, Disagree: 0.03584200516343117
Index: 46, Strongly agree: 0.5135456919670105, Agree: 0.22893968224525452, Strongly disagree: 0.16832765936851501, Disagree: 0.08918691426515579
Index: 47, Strongly disagree: 0.4797540307044983, Disagree: 0.4212583303451538, Strongly agree: 0.06031935662031174, Agree: 0.03866828605532646
Index: 48, Strongly agree: 0.4493159353733063, Agree: 0.4079393744468689, Disagree: 0.07934309542179108, Strongly disagree: 0.06340155750513077
Index: 49, Strongly agree: 0.6437766551971436, Agree: 0.29105114936828613, Strongly disagree: 0.03450807183980942, Disagree: 0.03066415525972843
Index: 50, Strongly agree: 0.5013989210128784, Strongly disagree: 0.2103947550058365, Agree: 0.1510094255208969, Disagree: 0.13719680905342102
Index: 51, Strongly disagree: 0.29836148023605347, Strongly agree: 0.2942504286766052, Disagree: 0.2848515212535858, Agree: 0.12253659963607788
Index: 52, Strongly disagree: 0.4466772675514221, Disagree: 0.2744249105453491, Strongly agree: 0.18170931935310364, Agree: 0.0971885472536087
Index: 53, Strongly agree: 0.6534454822540283, Agree: 0.18891920149326324, Strongly disagree: 0.10218004137277603, Disagree: 0.055455178022384644
Index: 54, Strongly agree: 0.31219470500946045, Agree: 0.26577773690223694, Strongly disagree: 0.2471458613872528, Disagree: 0.1748816967010498
Index: 55, Strongly disagree: 0.4208303987979889, Disagree: 0.26914164423942566, Strongly agree: 0.1981431096792221, Agree: 0.11188482493162155
Index: 56, Strongly agree: 0.4943869113922119, Agree: 0.38034588098526, Strongly disagree: 0.0772164985537529, Disagree: 0.048050664365291595
Index: 57, Disagree: 0.3673499822616577, Strongly disagree: 0.3500816822052002, Strongly agree: 0.16237898170948029, Agree: 0.12018932402133942
Index: 58, Agree: 0.4454888701438904, Strongly agree: 0.22669024765491486, Strongly disagree: 0.19553135335445404, Disagree: 0.13228948414325714
Index: 59, Disagree: 0.37017470598220825, Strongly disagree: 0.34651443362236023, Strongly agree: 0.20869667828083038, Agree: 0.07461417466402054
Index: 60, Agree: 0.36484816670417786, Strongly disagree: 0.3282734155654907, Disagree: 0.23834237456321716, Strongly agree: 0.06853607296943665
Index: 61, Strongly disagree: 0.4617144465446472, Disagree: 0.31401926279067993, Strongly agree: 0.1426348239183426, Agree: 0.08163144439458847
Index: 62, Strongly disagree: 0.39705783128738403, Strongly agree: 0.27870577573776245, Disagree: 0.16807697713375092, Agree: 0.1561594158411026
