Index: 1, Strongly disagree: 0.4863515794277191, Disagree: 0.30871713161468506, Strongly agree: 0.1327477991580963, Agree: 0.07218354940414429
Index: 28, Strongly disagree: 0.5415477156639099, Disagree: 0.2557913362979889, Strongly agree: 0.1439637690782547, Agree: 0.0586971677839756
Index: 29, Strongly disagree: 0.5357805490493774, Disagree: 0.2938845157623291, Strongly agree: 0.08983293920755386, Agree: 0.08050202578306198
Index: 30, Strongly agree: 0.38886719942092896, Strongly disagree: 0.3370636999607086, Disagree: 0.1646210104227066, Agree: 0.10944811999797821
Index: 31, Strongly disagree: 0.3461173176765442, Strongly agree: 0.3245801627635956, Disagree: 0.1660345196723938, Agree: 0.16326798498630524
Index: 32, Strongly agree: 0.3640628457069397, Disagree: 0.3375692069530487, Agree: 0.14919261634349823, Strongly disagree: 0.14917536079883575
Index: 33, Disagree: 0.38897791504859924, Strongly disagree: 0.356012225151062, Agree: 0.13195306062698364, Strongly agree: 0.1230567991733551
Index: 34, Strongly disagree: 0.6494414806365967, Disagree: 0.2675197720527649, Strongly agree: 0.057645440101623535, Agree: 0.025393366813659668
Index: 35, Strongly disagree: 0.5969772338867188, Disagree: 0.2905750870704651, Strongly agree: 0.07054459303617477, Agree: 0.041903141885995865
Index: 36, Strongly disagree: 0.47815561294555664, Disagree: 0.41319260001182556, Agree: 0.05445541813969612, Strongly agree: 0.054196376353502274
Index: 37, Strongly disagree: 0.5997979640960693, Disagree: 0.2697440981864929, Strongly agree: 0.07983633875846863, Agree: 0.05062159523367882
Index: 38, Strongly agree: 0.49011287093162537, Agree: 0.20902399718761444, Disagree: 0.19660606980323792, Strongly disagree: 0.1042570248246193
Index: 39, Strongly disagree: 0.6901786923408508, Disagree: 0.2720947265625, Strongly agree: 0.025010662153363228, Agree: 0.012715979479253292
Index: 40, Strongly disagree: 0.45343706011772156, Disagree: 0.32708603143692017, Strongly agree: 0.1619691103696823, Agree: 0.05750776082277298
Index: 41, Strongly disagree: 0.4538932144641876, Disagree: 0.2751553952693939, Strongly agree: 0.2072189897298813, Agree: 0.06373238563537598
Index: 42, Strongly disagree: 0.5373163819313049, Disagree: 0.336760014295578, Strongly agree: 0.07620281726121902, Agree: 0.04972076043486595
Index: 43, Strongly disagree: 0.5316796898841858, Disagree: 0.3130066394805908, Strongly agree: 0.08824287354946136, Agree: 0.06707082688808441
Index: 44, Disagree: 0.37371230125427246, Strongly disagree: 0.30428367853164673, Strongly agree: 0.23525917530059814, Agree: 0.08674483001232147
Index: 45, Strongly disagree: 0.491196870803833, Disagree: 0.2873617708683014, Agree: 0.13823622465133667, Strongly agree: 0.08320510387420654
Index: 46, Strongly disagree: 0.39199721813201904, Disagree: 0.33259856700897217, Strongly agree: 0.19340457022190094, Agree: 0.08199968934059143
Index: 47, Strongly disagree: 0.6301150918006897, Disagree: 0.32825130224227905, Strongly agree: 0.027506358921527863, Agree: 0.014127228409051895
Index: 48, Strongly disagree: 0.4674358367919922, Disagree: 0.25679972767829895, Strongly agree: 0.21387922763824463, Agree: 0.06188523769378662
Index: 49, Strongly disagree: 0.47717735171318054, Disagree: 0.2660154700279236, Strongly agree: 0.15742208063602448, Agree: 0.09938519448041916
Index: 50, Strongly agree: 0.4288422763347626, Disagree: 0.2864229083061218, Strongly disagree: 0.15432001650333405, Agree: 0.1304149031639099
Index: 51, Strongly disagree: 0.32206207513809204, Disagree: 0.2756045460700989, Strongly agree: 0.2456555813550949, Agree: 0.15667776763439178
Index: 52, Strongly disagree: 0.4615185260772705, Disagree: 0.3068457841873169, Strongly agree: 0.12628470361232758, Agree: 0.10535100847482681
Index: 53, Strongly disagree: 0.49175068736076355, Disagree: 0.33877137303352356, Strongly agree: 0.09284927695989609, Agree: 0.07662870734930038
Index: 54, Strongly agree: 0.45802924036979675, Disagree: 0.21103070676326752, Agree: 0.1728658378124237, Strongly disagree: 0.1580742597579956
Index: 55, Strongly disagree: 0.3813282251358032, Disagree: 0.31453776359558105, Strongly agree: 0.20136511325836182, Agree: 0.1027689054608345
Index: 56, Strongly agree: 0.38587650656700134, Disagree: 0.3197932243347168, Strongly disagree: 0.21309447288513184, Agree: 0.08123571425676346
Index: 57, Strongly disagree: 0.43977242708206177, Disagree: 0.41450273990631104, Strongly agree: 0.09313785284757614, Agree: 0.052587032318115234
Index: 58, Strongly disagree: 0.5091073513031006, Disagree: 0.42190226912498474, Strongly agree: 0.04077042266726494, Agree: 0.028219955042004585
Index: 59, Strongly disagree: 0.518710732460022, Disagree: 0.30460038781166077, Strongly agree: 0.11735085397958755, Agree: 0.05933796614408493
Index: 60, Strongly disagree: 0.3959883451461792, Disagree: 0.32527148723602295, Agree: 0.15601502358913422, Strongly agree: 0.12272513657808304
Index: 61, Disagree: 0.3441835641860962, Strongly disagree: 0.2281503528356552, Strongly agree: 0.22456824779510498, Agree: 0.20309782028198242
Index: 62, Strongly disagree: 0.5267370939254761, Disagree: 0.28749996423721313, Strongly agree: 0.09945659339427948, Agree: 0.08630641549825668
