Index: 1, Strongly disagree: 0.32016855478286743, Disagree: 0.2955329418182373, Strongly agree: 0.28071630001068115, Agree: 0.10358217358589172
Index: 36, Agree: 0.5904075503349304, Strongly agree: 0.3112242817878723, Disagree: 0.06742125749588013, Strongly disagree: 0.030946915969252586
Index: 37, Disagree: 0.352267861366272, Strongly disagree: 0.26420462131500244, Strongly agree: 0.23372340202331543, Agree: 0.14980414509773254
Index: 38, Strongly disagree: 0.3767634630203247, Disagree: 0.3534822463989258, Strongly agree: 0.2067623883485794, Agree: 0.06299189478158951
Index: 39, Strongly disagree: 0.4094778001308441, Disagree: 0.3116632401943207, Agree: 0.14219693839550018, Strongly agree: 0.13666200637817383
Index: 40, Strongly disagree: 0.5515994429588318, Disagree: 0.2452182173728943, Strongly agree: 0.15732944011688232, Agree: 0.04585285857319832
Index: 41, Strongly disagree: 0.4772530198097229, Disagree: 0.3178494870662689, Strongly agree: 0.12787245213985443, Agree: 0.07702505588531494
Index: 42, Disagree: 0.46281424164772034, Strongly disagree: 0.3981104791164398, Agree: 0.07375652343034744, Strongly agree: 0.06531874090433121
Index: 43, Strongly disagree: 0.45387640595436096, Disagree: 0.3490590751171112, Strongly agree: 0.13079260289669037, Agree: 0.06627194583415985
Index: 44, Strongly disagree: 0.463182657957077, Disagree: 0.33373913168907166, Strongly agree: 0.14103886485099792, Agree: 0.062039364129304886
Index: 45, Disagree: 0.39202386140823364, Strongly disagree: 0.38805660605430603, Agree: 0.1376994401216507, Strongly agree: 0.08222007751464844
Index: 46, Strongly agree: 0.40426304936408997, Agree: 0.3125127851963043, Strongly disagree: 0.15918533504009247, Disagree: 0.12403883039951324
Index: 47, Strongly disagree: 0.6104737520217896, Disagree: 0.3039034307003021, Strongly agree: 0.0596434585750103, Agree: 0.02597937546670437
Index: 48, Strongly disagree: 0.6487791538238525, Disagree: 0.2702640891075134, Strongly agree: 0.05421322211623192, Agree: 0.02674350142478943
Index: 49, Agree: 0.5388807058334351, Strongly agree: 0.40515559911727905, Strongly disagree: 0.041434191167354584, Disagree: 0.014529443345963955
Index: 50, Strongly disagree: 0.4493383467197418, Disagree: 0.259405255317688, Strongly agree: 0.23160333931446075, Agree: 0.05965305492281914
Index: 51, Strongly disagree: 0.4094044268131256, Disagree: 0.37730568647384644, Strongly agree: 0.13076113164424896, Agree: 0.08252879232168198
Index: 52, Disagree: 0.5006707906723022, Strongly disagree: 0.26213565468788147, Strongly agree: 0.12309645861387253, Agree: 0.11409708857536316
Index: 53, Strongly disagree: 0.4088308811187744, Strongly agree: 0.22906117141246796, Disagree: 0.22535932064056396, Agree: 0.13674858212471008
Index: 54, Disagree: 0.35449886322021484, Strongly agree: 0.2986040413379669, Agree: 0.20533670485019684, Strongly disagree: 0.14156046509742737
Index: 55, Strongly disagree: 0.4343068599700928, Disagree: 0.3342404365539551, Strongly agree: 0.1555505245923996, Agree: 0.07590217888355255
Index: 56, Strongly agree: 0.3043130040168762, Strongly disagree: 0.28448423743247986, Agree: 0.22130997478961945, Disagree: 0.1898927539587021
Index: 57, Strongly disagree: 0.5648680329322815, Disagree: 0.35949867963790894, Strongly agree: 0.05246910825371742, Agree: 0.02316415309906006
Index: 58, Strongly disagree: 0.6208275556564331, Disagree: 0.31025418639183044, Strongly agree: 0.04679873585700989, Agree: 0.0221195537596941
Index: 59, Strongly disagree: 0.4598671495914459, Disagree: 0.32955095171928406, Strongly agree: 0.15645863115787506, Agree: 0.05412328988313675
Index: 60, Strongly disagree: 0.45358407497406006, Disagree: 0.3038753867149353, Agree: 0.14859826862812042, Strongly agree: 0.09394223988056183
Index: 61, Strongly disagree: 0.4284828007221222, Disagree: 0.2686693072319031, Strongly agree: 0.22133022546768188, Agree: 0.08151765912771225
Index: 62, Strongly disagree: 0.5263625979423523, Disagree: 0.24591945111751556, Strongly agree: 0.15631645917892456, Agree: 0.07140146195888519
