Index: 1, Strongly disagree: 0.28214550018310547, Strongly agree: 0.2605895400047302, Disagree: 0.2550415098667145, Agree: 0.20222347974777222
Index: 51, Strongly disagree: 0.27700838446617126, Disagree: 0.27657586336135864, Strongly agree: 0.2636578679084778, Agree: 0.1827578842639923
Index: 52, Strongly disagree: 0.44714832305908203, Disagree: 0.23535817861557007, Strongly agree: 0.1810550093650818, Agree: 0.1364384889602661
Index: 53, Strongly disagree: 0.6084347367286682, Disagree: 0.1768275946378708, Strongly agree: 0.13156408071517944, Agree: 0.08317364007234573
Index: 54, Strongly disagree: 0.38791728019714355, Strongly agree: 0.2736671566963196, Disagree: 0.2499547153711319, Agree: 0.08846091479063034
Index: 55, Strongly disagree: 0.3834593892097473, Disagree: 0.24690032005310059, Strongly agree: 0.23395590484142303, Agree: 0.13568438589572906
Index: 56, Strongly disagree: 0.3118925392627716, Disagree: 0.29374924302101135, Strongly agree: 0.22037234902381897, Agree: 0.17398583889007568
Index: 57, Strongly disagree: 0.48067161440849304, Disagree: 0.3127703368663788, Strongly agree: 0.11230159550905228, Agree: 0.09425647556781769
Index: 58, Strongly disagree: 0.49209821224212646, Disagree: 0.255133718252182, Strongly agree: 0.15428276360034943, Agree: 0.0984853208065033
Index: 59, Disagree: 0.3514648675918579, Strongly disagree: 0.32018691301345825, Agree: 0.18425366282463074, Strongly agree: 0.14409461617469788
Index: 60, Strongly agree: 0.5597832202911377, Agree: 0.4067212641239166, Disagree: 0.017551150172948837, Strongly disagree: 0.015944378450512886
Index: 61, Strongly disagree: 0.550503134727478, Disagree: 0.3220771253108978, Strongly agree: 0.06879948824644089, Agree: 0.058620233088731766
Index: 62, Strongly disagree: 0.3376299738883972, Disagree: 0.29492703080177307, Strongly agree: 0.234812393784523, Agree: 0.1326306164264679
