Index: 1, Disagree: 0.5288636088371277, Agree: 0.2745683491230011, Strongly disagree: 0.11643116176128387, Strongly agree: 0.08013689517974854
Index: 43, Agree: 0.5768972039222717, Strongly agree: 0.33133020997047424, Strongly disagree: 0.046972379088401794, Disagree: 0.04480019584298134
Index: 44, Agree: 0.44368281960487366, Disagree: 0.21152760088443756, Strongly agree: 0.20709390938282013, Strongly disagree: 0.13769564032554626
Index: 45, Disagree: 0.3613123893737793, Agree: 0.3586413264274597, Strongly agree: 0.15894415974617004, Strongly disagree: 0.12110213190317154
Index: 46, Agree: 0.5051173567771912, Disagree: 0.21735672652721405, Strongly agree: 0.14390982687473297, Strongly disagree: 0.13361606001853943
Index: 47, Agree: 0.5184605121612549, Strongly agree: 0.38466784358024597, Strongly disagree: 0.051413290202617645, Disagree: 0.0454583577811718
Index: 48, Agree: 0.5849813222885132, Strongly agree: 0.207118421792984, Disagree: 0.1084735095500946, Strongly disagree: 0.09942672401666641
Index: 49, Agree: 0.5447459816932678, Strongly agree: 0.1881592720746994, Disagree: 0.140945702791214, Strongly disagree: 0.126148983836174
Index: 50, Agree: 0.6696351766586304, Disagree: 0.14561788737773895, Strongly agree: 0.10748264938592911, Strongly disagree: 0.07726427167654037
Index: 51, Agree: 0.4711962640285492, Strongly agree: 0.21553820371627808, Disagree: 0.17440412938594818, Strongly disagree: 0.13886138796806335
Index: 52, Agree: 0.5001247525215149, Strongly agree: 0.3251928985118866, Disagree: 0.08853757381439209, Strongly disagree: 0.08614478260278702
Index: 53, Disagree: 0.7528996467590332, Strongly disagree: 0.19292160868644714, Agree: 0.034518368542194366, Strongly agree: 0.01966046541929245
Index: 54, Disagree: 0.45097818970680237, Agree: 0.3461659848690033, Strongly disagree: 0.10748530179262161, Strongly agree: 0.09537049382925034
Index: 55, Agree: 0.49718281626701355, Strongly agree: 0.4097506105899811, Strongly disagree: 0.05273370072245598, Disagree: 0.04033288732171059
Index: 56, Disagree: 0.36788350343704224, Agree: 0.34922340512275696, Strongly disagree: 0.17077144980430603, Strongly agree: 0.11212165653705597
Index: 57, Disagree: 0.604672372341156, Strongly disagree: 0.26113513112068176, Strongly agree: 0.07833383977413177, Agree: 0.055858660489320755
Index: 58, Disagree: 0.43786704540252686, Agree: 0.31484586000442505, Strongly disagree: 0.13533218204975128, Strongly agree: 0.11195487529039383
Index: 59, Disagree: 0.4887025058269501, Agree: 0.3096368610858917, Strongly agree: 0.10192149132490158, Strongly disagree: 0.09973913431167603
Index: 60, Agree: 0.3981013298034668, Disagree: 0.29568642377853394, Strongly agree: 0.17580154538154602, Strongly disagree: 0.13041071593761444
Index: 61, Disagree: 0.7052462697029114, Strongly disagree: 0.21423977613449097, Agree: 0.05440669134259224, Strongly agree: 0.026107216253876686
Index: 62, Disagree: 0.7377433776855469, Strongly disagree: 0.23244629800319672, Agree: 0.01670742966234684, Strongly agree: 0.013102935627102852
