Index: 1, Disagree: 0.5785422921180725, Strongly disagree: 0.4127357602119446, Strongly agree: 0.004443821031600237, Agree: 0.004278070759028196
Index: 51, Disagree: 0.5509211421012878, Strongly disagree: 0.4195120930671692, Agree: 0.01523592509329319, Strongly agree: 0.014330904930830002
Index: 52, Strongly agree: 0.6058018207550049, Disagree: 0.15791229903697968, Agree: 0.14431218802928925, Strongly disagree: 0.09197373688220978
Index: 53, Disagree: 0.5870006084442139, Strongly disagree: 0.40376463532447815, Strongly agree: 0.005316861439496279, Agree: 0.00391788873821497
Index: 54, Disagree: 0.5919970273971558, Strongly disagree: 0.38870248198509216, Strongly agree: 0.009944722056388855, Agree: 0.009355799295008183
Index: 55, Disagree: 0.5291765332221985, Strongly disagree: 0.4324328601360321, Strongly agree: 0.01927993632853031, Agree: 0.019110653549432755
Index: 56, Disagree: 0.5709083080291748, Strongly disagree: 0.4144887328147888, Strongly agree: 0.008227975107729435, Agree: 0.006374965887516737
Index: 57, Disagree: 0.5078731179237366, Strongly disagree: 0.47148579359054565, Strongly agree: 0.012644547037780285, Agree: 0.007996613159775734
Index: 58, Disagree: 0.578931450843811, Strongly disagree: 0.41237714886665344, Strongly agree: 0.004536021500825882, Agree: 0.004155335482209921
Index: 59, Disagree: 0.5555140972137451, Strongly disagree: 0.4361795485019684, Strongly agree: 0.004170242231339216, Agree: 0.004136092495173216
Index: 60, Disagree: 0.5466787815093994, Strongly disagree: 0.4433176815509796, Strongly agree: 0.005435811821371317, Agree: 0.004567679483443499
Index: 61, Disagree: 0.5814462900161743, Strongly disagree: 0.37053680419921875, Strongly agree: 0.025691961869597435, Agree: 0.022324897348880768
Index: 62, Strongly agree: 0.43446385860443115, Disagree: 0.29287779331207275, Strongly disagree: 0.1486540585756302, Agree: 0.12400426715612411
