Index: 1, Strongly agree: 0.6662179231643677, Agree: 0.3042268753051758, Strongly disagree: 0.015110141597688198, Disagree: 0.014445076696574688
Index: 31, Strongly agree: 0.6757330894470215, Strongly disagree: 0.14769649505615234, Disagree: 0.10121408849954605, Agree: 0.07535631209611893
Index: 32, Strongly agree: 0.47714343667030334, Strongly disagree: 0.3198949098587036, Disagree: 0.15999862551689148, Agree: 0.04296298697590828
Index: 33, Strongly agree: 0.6583741903305054, Disagree: 0.1843085139989853, Strongly disagree: 0.10670267045497894, Agree: 0.05061468854546547
Index: 34, Strongly agree: 0.6484182476997375, Disagree: 0.1500013768672943, Agree: 0.1458909511566162, Strongly disagree: 0.05568941682577133
Index: 35, Strongly agree: 0.7873631119728088, Disagree: 0.08554501086473465, Agree: 0.07794681191444397, Strongly disagree: 0.049145132303237915
Index: 36, Strongly agree: 0.6493609547615051, Agree: 0.3080742061138153, Strongly disagree: 0.02130885049700737, Disagree: 0.02125597558915615
Index: 37, Strongly agree: 0.6756382584571838, Agree: 0.2905977964401245, Strongly disagree: 0.018703045323491096, Disagree: 0.015060908161103725
Index: 38, Strongly agree: 0.8237072825431824, Agree: 0.12412583827972412, Disagree: 0.02817470207810402, Strongly disagree: 0.023992154747247696
Index: 39, Strongly agree: 0.6247869729995728, Agree: 0.3278695344924927, Disagree: 0.024461736902594566, Strongly disagree: 0.022881757467985153
Index: 40, Strongly disagree: 0.46133190393447876, Strongly agree: 0.32677799463272095, Disagree: 0.17967666685581207, Agree: 0.03221350535750389
Index: 41, Strongly agree: 0.8475789427757263, Agree: 0.09297724068164825, Disagree: 0.033472687005996704, Strongly disagree: 0.025971075519919395
Index: 42, Strongly agree: 0.6622238755226135, Agree: 0.3003302216529846, Strongly disagree: 0.021018873900175095, Disagree: 0.016427062451839447
Index: 43, Strongly agree: 0.614875853061676, Agree: 0.3470291495323181, Strongly disagree: 0.020702265202999115, Disagree: 0.017392722889780998
Index: 44, Strongly agree: 0.6014622449874878, Agree: 0.38099586963653564, Strongly disagree: 0.009795919992029667, Disagree: 0.007746040355414152
Index: 45, Strongly agree: 0.6936414241790771, Agree: 0.2319202870130539, Disagree: 0.045762401074171066, Strongly disagree: 0.02867589332163334
Index: 46, Strongly agree: 0.7473807334899902, Agree: 0.1984434872865677, Strongly disagree: 0.028524840250611305, Disagree: 0.025650983676314354
Index: 47, Strongly agree: 0.7059627771377563, Disagree: 0.15378808975219727, Agree: 0.07186346501111984, Strongly disagree: 0.06838559359312057
Index: 48, Strongly agree: 0.7745797634124756, Agree: 0.18443426489830017, Strongly disagree: 0.02281881496310234, Disagree: 0.01816714182496071
Index: 49, Strongly agree: 0.786020040512085, Agree: 0.15406841039657593, Strongly disagree: 0.03159418702125549, Disagree: 0.028317375108599663
Index: 50, Strongly agree: 0.6933844685554504, Agree: 0.2668245732784271, Strongly disagree: 0.021789228543639183, Disagree: 0.01800178363919258
Index: 51, Strongly agree: 0.48815181851387024, Strongly disagree: 0.27631816267967224, Disagree: 0.14620819687843323, Agree: 0.08932184427976608
Index: 52, Strongly agree: 0.7763117551803589, Agree: 0.18760503828525543, Strongly disagree: 0.019584225490689278, Disagree: 0.016498969867825508
Index: 53, Strongly agree: 0.8309298753738403, Agree: 0.09235609322786331, Disagree: 0.043566059321165085, Strongly disagree: 0.03314792737364769
Index: 54, Strongly agree: 0.5057523846626282, Agree: 0.46654844284057617, Strongly disagree: 0.01411628257483244, Disagree: 0.013582970015704632
Index: 55, Strongly agree: 0.7896056771278381, Agree: 0.10029888898134232, Disagree: 0.07682526856660843, Strongly disagree: 0.033270176500082016
Index: 56, Strongly disagree: 0.4819439649581909, Disagree: 0.26243236660957336, Strongly agree: 0.2292594462633133, Agree: 0.026364240795373917
Index: 57, Strongly agree: 0.7990184426307678, Agree: 0.09337081015110016, Disagree: 0.06704394519329071, Strongly disagree: 0.04056675732135773
Index: 58, Strongly agree: 0.5893521308898926, Agree: 0.3886096179485321, Strongly disagree: 0.01156981848180294, Disagree: 0.010468436405062675
Index: 59, Strongly agree: 0.6284782886505127, Agree: 0.33932575583457947, Strongly disagree: 0.01725708693265915, Disagree: 0.014938846230506897
Index: 60, Strongly agree: 0.8177251815795898, Agree: 0.12249792367219925, Strongly disagree: 0.03033866360783577, Disagree: 0.02943824790418148
Index: 61, Strongly agree: 0.6568776369094849, Agree: 0.1448187232017517, Disagree: 0.11125482618808746, Strongly disagree: 0.08704881370067596
Index: 62, Strongly agree: 0.8063153028488159, Strongly disagree: 0.079253651201725, Agree: 0.06501749157905579, Disagree: 0.04941358044743538
