Index: 1, Strongly agree: 0.7167593240737915, Agree: 0.20857687294483185, Strongly disagree: 0.04074084758758545, Disagree: 0.03392292931675911
Index: 18, Strongly agree: 0.5733462572097778, Agree: 0.1759040802717209, Disagree: 0.14947502315044403, Strongly disagree: 0.10127460211515427
Index: 19, Strongly agree: 0.7475342750549316, Agree: 0.17462323606014252, Strongly disagree: 0.043945129960775375, Disagree: 0.03389735892415047
Index: 20, Disagree: 0.3871137201786041, Strongly agree: 0.31719285249710083, Strongly disagree: 0.16800080239772797, Agree: 0.12769268453121185
Index: 21, Strongly agree: 0.730630099773407, Agree: 0.19644488394260406, Strongly disagree: 0.039070215076208115, Disagree: 0.033854786306619644
Index: 22, Strongly agree: 0.7075071930885315, Agree: 0.1897551566362381, Strongly disagree: 0.06113710626959801, Disagree: 0.04160057008266449
Index: 23, Strongly agree: 0.7437661290168762, Agree: 0.146919846534729, Strongly disagree: 0.059490375220775604, Disagree: 0.04982355609536171
Index: 24, Strongly agree: 0.7278745174407959, Agree: 0.14969295263290405, Strongly disagree: 0.06632909178733826, Disagree: 0.05610343813896179
Index: 25, Disagree: 0.5976226925849915, Strongly agree: 0.16627271473407745, Strongly disagree: 0.16560135781764984, Agree: 0.07050321996212006
Index: 26, Strongly agree: 0.7338020205497742, Agree: 0.18148836493492126, Strongly disagree: 0.05040541663765907, Disagree: 0.034304179251194
Index: 27, Strongly agree: 0.6199191212654114, Agree: 0.23856858909130096, Strongly disagree: 0.07292954623699188, Disagree: 0.06858272850513458
Index: 28, Strongly agree: 0.7650406360626221, Agree: 0.12738698720932007, Strongly disagree: 0.06001013144850731, Disagree: 0.04756222292780876
Index: 29, Strongly agree: 0.7536510229110718, Agree: 0.1543532758951187, Strongly disagree: 0.05169936642050743, Disagree: 0.04029630124568939
Index: 30, Strongly agree: 0.728271484375, Agree: 0.22021502256393433, Strongly disagree: 0.030667951330542564, Disagree: 0.020845506340265274
Index: 31, Strongly agree: 0.7099536061286926, Agree: 0.1988268494606018, Strongly disagree: 0.05160582438111305, Disagree: 0.03961366042494774
Index: 32, Strongly agree: 0.7352772951126099, Agree: 0.17508503794670105, Strongly disagree: 0.05245092883706093, Disagree: 0.03718671575188637
Index: 33, Strongly agree: 0.7823476195335388, Agree: 0.14152003824710846, Strongly disagree: 0.039261024445295334, Disagree: 0.03687132149934769
Index: 34, Strongly disagree: 0.5099572539329529, Disagree: 0.43336552381515503, Strongly agree: 0.03652051463723183, Agree: 0.020156705752015114
Index: 35, Strongly agree: 0.7303292155265808, Agree: 0.16040447354316711, Strongly disagree: 0.06406522542238235, Disagree: 0.04520116373896599
Index: 36, Strongly agree: 0.5538840293884277, Agree: 0.2762608230113983, Strongly disagree: 0.08960141241550446, Disagree: 0.0802537202835083
Index: 37, Strongly agree: 0.7682190537452698, Agree: 0.14394675195217133, Strongly disagree: 0.05206464231014252, Disagree: 0.035769540816545486
Index: 38, Strongly agree: 0.7244338393211365, Agree: 0.1731347292661667, Strongly disagree: 0.053063590079545975, Disagree: 0.049367938190698624
Index: 39, Strongly agree: 0.7216625213623047, Agree: 0.18730664253234863, Strongly disagree: 0.05562416836619377, Disagree: 0.0354066826403141
Index: 40, Strongly agree: 0.7699149250984192, Agree: 0.14481878280639648, Strongly disagree: 0.05241358280181885, Disagree: 0.03285272419452667
Index: 41, Strongly agree: 0.6598729491233826, Agree: 0.197466641664505, Strongly disagree: 0.07558603584766388, Disagree: 0.06707441806793213
Index: 42, Strongly agree: 0.7152408957481384, Agree: 0.1726337969303131, Strongly disagree: 0.06485310196876526, Disagree: 0.0472722202539444
Index: 43, Strongly agree: 0.7335706353187561, Agree: 0.19839827716350555, Strongly disagree: 0.03671089932322502, Disagree: 0.03132012486457825
Index: 44, Strongly agree: 0.7469726800918579, Agree: 0.1755180060863495, Strongly disagree: 0.04197216406464577, Disagree: 0.03553713858127594
Index: 45, Strongly agree: 0.6766061186790466, Agree: 0.20009100437164307, Strongly disagree: 0.08261196315288544, Disagree: 0.040690839290618896
Index: 46, Strongly agree: 0.7184863686561584, Agree: 0.1796889752149582, Strongly disagree: 0.059635791927576065, Disagree: 0.042188871651887894
Index: 47, Strongly agree: 0.6713526248931885, Agree: 0.19513647258281708, Strongly disagree: 0.081590436398983, Disagree: 0.05192051827907562
Index: 48, Strongly agree: 0.7598443627357483, Agree: 0.14099472761154175, Strongly disagree: 0.057122789323329926, Disagree: 0.04203812777996063
Index: 49, Strongly agree: 0.7181674838066101, Agree: 0.16854576766490936, Strongly disagree: 0.06112582981586456, Disagree: 0.05216085910797119
Index: 50, Strongly agree: 0.6428443193435669, Agree: 0.2334212064743042, Strongly disagree: 0.06894148141145706, Disagree: 0.05479293316602707
Index: 51, Strongly disagree: 0.5671078562736511, Disagree: 0.38722899556159973, Agree: 0.02447298727929592, Strongly agree: 0.021190086379647255
Index: 52, Strongly agree: 0.7282559871673584, Agree: 0.17369955778121948, Strongly disagree: 0.049126069992780685, Disagree: 0.04891834408044815
Index: 53, Strongly agree: 0.7119198441505432, Agree: 0.1331532597541809, Strongly disagree: 0.0855138823390007, Disagree: 0.06941304355859756
Index: 54, Strongly agree: 0.7094804644584656, Agree: 0.20212183892726898, Strongly disagree: 0.04977981746196747, Disagree: 0.038617875427007675
Index: 55, Strongly agree: 0.6014299988746643, Agree: 0.19856522977352142, Strongly disagree: 0.10018712282180786, Disagree: 0.099817655980587
Index: 56, Strongly agree: 0.7637450098991394, Agree: 0.14424534142017365, Strongly disagree: 0.04989878088235855, Disagree: 0.04211091250181198
Index: 57, Strongly agree: 0.6835876107215881, Agree: 0.17094272375106812, Strongly disagree: 0.08320970833301544, Disagree: 0.06225995719432831
Index: 58, Strongly agree: 0.6902375817298889, Agree: 0.22439026832580566, Strongly disagree: 0.04808242246508598, Disagree: 0.037289801985025406
Index: 59, Strongly agree: 0.7498361468315125, Agree: 0.18209075927734375, Strongly disagree: 0.039080217480659485, Disagree: 0.028992842882871628
Index: 60, Disagree: 0.4029495418071747, Strongly disagree: 0.2623172700405121, Strongly agree: 0.21419751644134521, Agree: 0.12053568661212921
Index: 61, Strongly agree: 0.6691752076148987, Agree: 0.20269685983657837, Strongly disagree: 0.0681326687335968, Disagree: 0.05999531224370003
Index: 62, Strongly agree: 0.7115771174430847, Agree: 0.13797283172607422, Strongly disagree: 0.08643568307161331, Disagree: 0.0640142560005188
