Index: 1, Agree: 0.4875, Strongly agree: 0.4723, Disagree: 0.0234, Strongly disagree: 0.0168
Index: 31, Agree: 0.3124, Strongly agree: 0.2970, Disagree: 0.2170, Strongly disagree: 0.1736
Index: 32, Agree: 0.4164, Strongly agree: 0.3111, Disagree: 0.1376, Strongly disagree: 0.1349
Index: 33, Agree: 0.4896, Strongly agree: 0.4759, Disagree: 0.0207, Strongly disagree: 0.0137
Index: 34, Disagree: 0.2788, Strongly agree: 0.2630, Agree: 0.2470, Strongly disagree: 0.2112
Index: 35, Disagree: 0.3306, Strongly disagree: 0.2948, Agree: 0.1953, Strongly agree: 0.1793
Index: 36, Strongly agree: 0.4053, Agree: 0.3392, Strongly disagree: 0.1366, Disagree: 0.1190
Index: 37, Disagree: 0.4811, Strongly disagree: 0.4127, Strongly agree: 0.0546, Agree: 0.0516
Index: 38, Agree: 0.3788, Strongly agree: 0.3001, Disagree: 0.2226, Strongly disagree: 0.0985
Index: 39, Strongly agree: 0.5213, Agree: 0.2915, Strongly disagree: 0.1038, Disagree: 0.0834
Index: 40, Strongly agree: 0.5367, Agree: 0.4043, Disagree: 0.0349, Strongly disagree: 0.0240
Index: 41, Strongly agree: 0.6906, Agree: 0.1935, Disagree: 0.0674, Strongly disagree: 0.0485
Index: 42, Disagree: 0.3553, Strongly disagree: 0.2595, Agree: 0.1931, Strongly agree: 0.1921
Index: 43, Disagree: 0.2993, Strongly agree: 0.2908, Agree: 0.2888, Strongly disagree: 0.1211
Index: 44, Strongly disagree: 0.4833, Disagree: 0.4698, Strongly agree: 0.0250, Agree: 0.0220
Index: 45, Disagree: 0.4255, Strongly disagree: 0.3093, Strongly agree: 0.1437, Agree: 0.1215
Index: 46, Strongly agree: 0.5104, Agree: 0.4507, Disagree: 0.0213, Strongly disagree: 0.0177
Index: 47, Disagree: 0.5565, Strongly disagree: 0.3827, Agree: 0.0424, Strongly agree: 0.0184
Index: 48, Disagree: 0.5554, Strongly disagree: 0.3135, Agree: 0.0781, Strongly agree: 0.0530
Index: 49, Agree: 0.3905, Strongly agree: 0.2892, Disagree: 0.2113, Strongly disagree: 0.1090
Index: 50, Strongly disagree: 0.5725, Disagree: 0.3194, Strongly agree: 0.0571, Agree: 0.0510
Index: 51, Strongly agree: 0.5032, Agree: 0.2296, Disagree: 0.1719, Strongly disagree: 0.0952
Index: 52, Strongly disagree: 0.5151, Disagree: 0.4212, Agree: 0.0354, Strongly agree: 0.0283
Index: 53, Strongly disagree: 0.5520, Disagree: 0.4137, Agree: 0.0182, Strongly agree: 0.0161
Index: 54, Agree: 0.4412, Strongly agree: 0.2605, Disagree: 0.2172, Strongly disagree: 0.0812
Index: 55, Disagree: 0.4160, Strongly disagree: 0.2334, Agree: 0.1821, Strongly agree: 0.1685
Index: 56, Agree: 0.4864, Strongly agree: 0.4847, Disagree: 0.0159, Strongly disagree: 0.0130
Index: 57, Strongly agree: 0.4686, Agree: 0.4402, Strongly disagree: 0.0504, Disagree: 0.0408
Index: 58, Strongly agree: 0.5553, Agree: 0.4122, Strongly disagree: 0.0181, Disagree: 0.0144
Index: 59, Agree: 0.4895, Strongly agree: 0.4817, Strongly disagree: 0.0149, Disagree: 0.0139
Index: 60, Disagree: 0.3134, Strongly disagree: 0.2608, Agree: 0.2215, Strongly agree: 0.2043
Index: 61, Strongly agree: 0.2837, Strongly disagree: 0.2572, Agree: 0.2546, Disagree: 0.2045
Index: 62, Disagree: 0.5135, Strongly disagree: 0.3728, Strongly agree: 0.0587, Agree: 0.0550
